代碼,商品,漲幅%,產業地位,細產業,股本,市值
4807,日成-KY,9.98,泰國前三大珠寶ODM 及OEM廠商,珠寶,4.9,11.6
5906,台南-KY,1.27,代理FILA、Reebok品牌,成衣銷售／零售,3.57,17.1
5907,大洋-KY,-0.38,益航轉投資在大陸從事百貨零售之企業,百貨業,19.55,10.3
8429,金麗-KY,-1.38,大陸三、四線城市中低價品牌服飾與休閒鞋業者,製鞋業,18.57,12
8443,阿瘦,-0.85,台灣第一家掛牌的鞋業自有品牌業者,製鞋業,6.68,7.8
2616,山隆,-0.71,台灣知名加油站運營商,加油站,13.73,19.1
6505,台塑化,1.89,台灣最大的民營輕油裂解廠,煉油,952.6,5144
8926,台汽電,4.89,為一開發、投資、興建及營運汽電共生廠及民營電廠,汽電共生,83.03,427.6
9908,大台北,-0.34,主要經營台北市信義、松山等地區之天然氣業者,天然氣,51.64,151.6
9918,欣天然,-0.35,主要經營新北市中和、永和、新店、深坑之天然氣業者,天然氣,18.05,77
9926,新海,-0.3,主要經營新北市三重、板橋及新莊區之天然氣業者,天然氣,17.95,88.3
9931,欣高,-0.43,主要經營高雄市三民、左營等營業區之天然氣業者,天然氣,12.04,41.5
9937,全國,-0.88,台灣知名加油站經營商，站數逾百座,加油站,30.9,174.9
8908,欣雄,-1.02,主要經營高雄市鳳山、大寮等13區之天然氣業者,天然氣,31.53,122.3
8917,欣泰,-1.68,主要經營新北市樹林、土城等9區之天然氣業者,天然氣,16.27,85.7
8927,北基,-1.48,國內加油站經營商，擁有80個據點,加油站,42.35,85.6
8931,大汽電,0,設於大園工業區內之汽電共生公司,汽電共生,12.23,50.9
2072,世紀風電,-0.55,世紀鋼旗下，專注風電鋼結構領域,鋼構,19.2,344.6
3708,上緯投控,2.53,全球第二、亞洲最大環保耐蝕樹脂商,合成樹脂,9.21,118.2
5292,華懋,-1.33,VOCs揮發性有機廢氣防治處理設備工程服務商,環保工程,4.21,93.9
6581,鋼聯,-1.82,亞洲最大電弧爐集塵灰之鋅資源回收廠,回收焚化／掩埋清運,11.13,120.2
6641,基士德-KY,-0.52,大陸水處理環保設備與技術服務綜合服務商,幫浦,3.65,7
6806,森崴能源,-3.93,正崴集團旗下，能源工程及整合服務商,工程顧問,27.46,53.7
6869,雲豹能源,-0.46,再生能源一站式整合服務商,太陽能發電,13.78,119.8
6873,泓德能源,2.39,太陽能系統整合商,太陽能系統運用,14.26,134.2
6887,寶綠特-KY,-1.5,再生聚酯產業鍊資源與技術整合者,回收焚化／掩埋清運,7.42,29.2
6923,中台,-2.53,可寧衛轉投資之國內首家廢光源處理廠,回收焚化／掩埋清運,9.15,74
6944,兆聯實業,-4.25,台灣純水及廢水回收系統規劃設計之工程公司,污水處理,7.67,707.8
6994,富威電力,-0.16,森崴能源旗下綠電交易平台,電力公共事業,7.42,47.7
7786,東方風能,0,經營離岸風力發電相關工程,海洋工程設備,17.6,244.6
8341,日友,0.4,潤泰新轉投資之台灣最大醫療廢棄物處理廠商之一,回收焚化／掩埋清運,13,98.9
8422,可寧衛*,0.18,台灣最大重金屬廢棄物固化處理廠,回收焚化／掩埋清運,13.58,317.7
8438,昶昕,9.91,台灣主要PCB廢液處理商，市佔超過8成,回收焚化／掩埋清運,6.99,69
8473,山林水,-1.16,力麒旗下水處理工程公司,環保工程,18.12,62
8476,台境*,-0.29,專注發展土壤、地下水領域的環保工程服務商,環保工程,8.31,28.4
9930,中聯資源,-0.29,主營採用中鋼爐石粉製造高強度水泥,高爐水泥,24.85,173.5
9955,佳龍,0.84,台灣一貫化電子廢棄物處理廠,回收焚化／掩埋清運,10.44,31.4
3073,天方能源,-5.17,從事太陽能發電、風力發電、儲能等再生能源業務,太陽能發電,3.95,8.3
3551,世禾,3.81,精密洗淨及再生處理加工的龍頭廠商,設備儀器商,6.23,135.8
3713,新晶投控,3.65,太陽能統包工程廠，從事太陽能電廠之投資開發、建置及維運,太陽能系統運用,8.81,12.5
5205,中茂,0.87,廢水及廢棄物處理工程商,污水處理,1.35,3.1
5432,新門,3.74,所羅門子公司，液晶顯示模組與太陽能系統組件廠,PV Inverter,2.07,31.5
6624,萬年清,-2.6,從事工業用水與廢水處理之統包工程,污水處理,2.26,11
6692,進能服,-0.32,一體化太陽光電發電系統服務商,太陽能系統運用,5.88,18.4
6803,崑鼎,-0.86,中鼎集團旗下，台灣知名廢棄物處理、焚化爐營運商,回收焚化／掩埋清運,7.28,208.9
6894,衛司特,-3.41,聖暉轉投資PCB製程應用電解設備及耗材廠,水資源設備／耗材,2.38,80.8
6971,惠民實業,-1.54,從事污廢水處理操作維護、工程承攬之業者,污水處理,3.87,11.2
7715,裕山,1.06,基士德轉投資之土壤及地下水污染整治工程服務商,環保工程,3.27,9.3
7820,立盈,6.38,氟化鈣污泥處理及人造螢石銷售商,回收焚化／掩埋清運,3.78,56.7
7842,天能綠電,16.2,雲豹能源旗下全方位能源永續解決方案服務公司,電力公共事業,1.83,22.9
8087,麗升能源,3.03,從事太陽能、風電等再生能源電廠投資與建置業務,太陽能發電,3.87,13.1
8171,天宇,1.48,專攻電池模組與電源管理模組之廠商,工業用電池,11.29,27.1
8390,金益鼎,9.99,台灣清運處理固體電子廢棄物業者,回收焚化／掩埋清運,9.61,99.5
8423,保綠-KY,0.28,馬來西亞最大的再生膠、膠粉及膠粒製造商,合成橡膠,4.17,7.5
8440,綠電,2.48,台灣最大的廢家電及廢資訊物品回收業者,回收焚化／掩埋清運,5.03,10.4
3130,一零四,0,台灣人力資源網站第一品牌,人力資源,3.32,73.7
6165,浪凡,-0.38,主要經營「浪LIVE」直播平台,串流媒體,7.78,40.3
6614,資拓宏宇,-0.12,中華電信轉投資，資訊系統建置與整合服務公司,系統整合,8.07,33
6689,伊雲谷,0.86,台灣雲端託管服務龍頭廠商,雲端科技,6.8,47.7
6902,GOGOLOOK,-0.49,全球數位防詐及風險管理服務商,應用軟體,3.54,36.2
6906,現觀科,3.25,專注與電信業者合作提供數據分析平台領域,應用軟體,3.35,23.4
7721,微程式,9.99,IOT科技服務及電子支付設備供應商,系統整合,5.54,39.9
7722,LINEPAY,-1.25,台灣行動支付領導品牌,電子支付,6.8,188.4
7765,中華資安,2.46,中華電信轉投資，資安專業服務公司,資訊安全,4.07,101.5
8454,富邦媒,-1.02,台灣網路購物龍頭平台,電商平台,26.5,514.1
2640,大車隊,-1.77,台灣計程車車隊龍頭企業,客運,5.93,98.7
2949,欣新網,2.1,台灣電商營運服務商,電商服務,3.06,16.4
3085,新零售,9.75,台灣鋼鐵集團旗下電商公司,電商平台,6.9,8.9
3687,歐買尬,-1.07,第三方金流服務及遊戲代理商,電子支付,3.01,19.5
5278,尚凡*,-1.74,台灣知名交友社群媒體服務商,社群網站與媒體,3,67.8
5287,數字,-0.98,電商平台包含寶物、房屋、汽車交易及人力資源,電商平台,6.03,91.1
5321,美而快,-0.67,台灣服飾電商業者,電商平台,5.32,11.9
6690,安碁資訊,-1.18,宏碁旗下資訊安全管理服務廠,資訊安全,3,50.4
6741,91APP*-KY,0.46,台灣知名虛實融合(OMO)新零售服務商,電商服務,6.03,79.5
6763,綠界科技*,-0.84,歐買尬旗下第三方支付平台,電子支付,1.84,86.6
6811,宏碁資訊,1.19,宏碁旗下，企業數位轉型服務供應商,系統整合,4.14,88.1
6865,偉康科技,-0.56,金融業數位轉型解決方案供應商,應用軟體,1.58,5.6
6870,騰雲,1.06,台灣專業零售業一站式解決方案提供商,電商服務,2.34,44.4
6910,德鴻,-1.22,專注數位轉型、智能語音辨識、客戶心聲領域,系統整合,3.05,8.7
6925,意藍,-0.47,提供AI與大數據技術之智能數據服務提供商,應用軟體,2,12.8
6997,博弘,6.37,隸屬遠東集團，遠傳旗下之一站式雲端服務供應商,雲端科技,2.21,16.6
7547,碩網,-2.33,金融業聊天機器人平台研發廠,應用軟體,3.37,23.9
7714,創泓科技,-1.52,網路資安軟硬體代理商,資訊安全,2.1,27.2
7738,東聯互動,1.71,為外籍工作者提供小額跨境匯兌服務,金融其他,2.74,48.8
7747,昕奇雲端,0,上奇轉投資雲端服務及網通資安公司,雲端科技,2.74,35.9
7805,威聯通,2.23,台灣知名網路儲存裝置(NAS)製造商,儲存設備,3.31,242.5
8044,網家,5.65,台灣知名電商平台企業,電商平台,20.48,50
8472,夠麻吉,1.75,台灣最大吃喝玩樂票券平台「GOMAJI」,電商平台,1.77,12.4
8477,創業家,9.89,主要經營「生活市集」電商平台,電商平台,6.42,9.6
1432,大魯閣,-0.59,經營型娛樂購物中心事業,大型遊樂場,10.8,15.1
1598,岱宇,-1.8,全球前三大家用健身器材廠商,健身器材,17.91,39.1
1736,喬山,-0.8,全球最大商用健身器材、前三大家用健身器材廠商,健身器材,30.34,376.2
2762,世界健身-KY,1.89,主要經營會員制連鎖健身中心,連鎖健身房,11.25,84.8
4536,拓凱,0.33,全球知名碳纖維網球拍生產商,複合材料,9.08,137.6
5306,桂盟,-0.12,全球最大的鏈條製造商,自行車零件,12.6,101.8
6670,復盛應用,3.35,全球最大之高爾夫球桿頭製造商,高爾夫球桿頭,13.94,365.9
6768,志強-KY,5.14,足球鞋代工製造龍頭大廠,鞋材,20.01,184.1
6890,來億-KY,4.55,專為國際品牌代工製造鞋廠,鞋材,24.94,401.5
6965,中傑-KY,0.59,國際品牌代工製鞋廠,鞋材,15.63,133.2
8462,柏文,-0.34,台灣連鎖健身俱樂部業者,連鎖健身房,8.04,117
8467,波力-KY,1.92,全球最大碳纖維冰上曲棍球桿製造廠,複合材料,4.84,64.3
8478,東哥遊艇,-3.55,亞洲地區唯一擁有自有品牌之遊艇製造商,遊艇製造,9.4,153.2
9802,鈺齊-KY,3.36,主要從事各種功能鞋款代工研發的廠商,鞋材,20.1,167
9904,寶成,-0.39,全球運動鞋及休閒鞋代工龍頭,鞋材,294.68,760.3
9910,豐泰,0.81,全球知名運動鞋代工廠,鞋材,98.75,734.7
9914,美利達,3.23,台灣第二大自行車生產廠商,自行車,29.9,171.9
9921,巨大,5.76,全球最大自行車生產廠商,自行車,39.21,273.7
1593,祺驊,5.18,台灣運動器材零組件製造商,工業馬達,3.98,12.9
5348,正能量智能,0.67,主要從事GPS智慧手錶、模組與軌跡紀錄器,智慧手錶,1.48,2.2
6804,明係,-3.22,台灣自行車OEM/ODM公司,自行車,4.75,7.1
7811,民盛,-0.37,復盛應用轉投資運動功能性鞋及護具製造商,製鞋業,3.34,27
8924,大田,0.47,全球前四大高爾夫球桿頭代工廠之一,高爾夫球桿頭,8.38,53.6
8928,鉅明,0,全球前四大高爾夫球桿頭代工廠之一,高爾夫球桿頭,5.09,10.8
8933,愛地雅,-1.02,台灣第三大自行車生產廠商,自行車,32.67,19
8938,明安,-1.25,全球前四大高爾夫球桿頭代工廠之一,高爾夫球桿頭,15.7,86.8
9960,邁達康,1.3,台灣最大的高爾夫球銷售網站,球具,3.36,11.7
2062,橋椿,-0.25,全球最大鋅合金水龍頭零組件廠,水龍頭,20,40.5
3557,嘉威,-6.62,家居餐飲用品生產及銷售商,餐具,8.43,23.2
6671,三能-KY,-1.16,專業烘培器具製造商,傳產其他,6.08,18
6754,匯僑設計,-1.63,主要從事建築室內設計及裝潢裝修工程,設計裝潢,6.6,29.8
6807,峰源-KY,-0.99,室內傢俱研發生產銷售商,傢俱,5.4,18.9
8464,億豐,-2.33,全球窗簾製造大廠,窗簾,29.3,981.6
8482,商億-KY,-2,主要出口至北美的高端室內傢俱製造商,傢俱,10.74,52.6
9911,櫻花,1.2,台灣最大系統廚具連鎖通路品牌,廚衛電,22.24,187.3
9924,福興,-1.04,亞洲最大，全球第二大門鎖廠商,鎖,15.08,64.6
9934,成霖,6.58,亞洲最大水龍頭專業製造廠商,水龍頭,41.1,40.6
9935,慶豐富,0.55,台灣第一大窗簾傢飾廠,窗簾,17.78,32.6
2916,滿心,0.45,台灣前二大代理知名品牌服飾廠商,成衣銷售／零售,6.46,28.9
2924,宏太-KY,--,以「黃色小鴨」品牌在兩岸經營嬰童產品,嬰童用品,5.2,10.4
2937,集雅社,2.07,百貨家電龍頭通路商,電器銷售,4.35,19.3
2941,米斯特,-0.33,台灣服飾品牌OMO零售商,成衣銷售／零售,1.54,4.6
2947,振宇五金,-0.38,大型五金修繕專業賣場,量販店、大賣場,2.15,16.9
2948,寶陞,0,代理及自有地板品牌及室內建材銷售商,家居相關用品通路,3.1,11.8
3171,炎洲流通,5.63,炎洲集團旗下的包材通路商,塑膠加工,3.31,22.4
4609,唐鋒,0.19,以外銷小家電產品為主的廠商,小家電,4.79,2.5
4702,中美實,2.07,台灣分散性化學染料商並跨足汽車貿易業,汽車銷售,7.23,7.1
5902,德記,0.53,統一集團旗下貿易商，擁有自有品牌「開喜」系列茶飲,貿易,9.45,36.1
5903,全家,0,台灣第二大連鎖便利商店,便利商店,22.32,423
5904,寶雅,-2.04,台灣美妝及生活用品百貨龍頭,家居相關用品通路,10.64,614.2
6195,詩肯,-1.05,台灣連鎖品牌家具之零售通路龍頭,家居相關用品通路,5.02,11.8
6616,特昇-KY,-0.3,馬來西亞前五大木製寢室傢俱公司,傢俱,3.55,3.5
6629,泰金-KY,1.68,泰國家飾鑄件大廠,金屬加工／製品,3.84,46.4
6728,上洋,-0.43,商用洗衣設備與家電產品代理商,電器銷售,3.01,34.5
6968,萬達寵物,3.75,寵物食用品及寵物美容服務供應商,寵物用品,4.94,21.9
7782,光速火箭,-1.28,專注自有香氛品牌、電商平台領域,美妝保養品,2.32,6.3
7794,宏碁智新,-1.92,宏碁旗下智慧空氣品質解決方案服務商,小家電,2.8,8.6
8066,來思達,0.3,擁有自有品牌之B2B傢俱商，為美國進口傢俱前五名廠商,傢俱,3.66,6.2
8433,弘帆,0.55,全方位女性與孩童配件飾品供應商，產品外銷歐美為主,貿易,5.45,29.7
8941,關中,0.68,以生產烤肉爐、節能熱水器為主製造商,烤肉架,3.5,15.6
1342,八貫,1.38,台灣機能性皮布料及薄膜製造商,塑膠皮布,7.8,74.5
1416,廣豐,0,專注金融業應用系統開發,應用軟體,18.53,20.9
1437,勤益控,-0.86,投資控股公司，從事地產、紡織貿易及投資事業,物業投資發展,20.19,58
1443,立益物流,2.99,從事物流倉儲服務及經營房地產,倉儲服務,13.53,37.4
1516,川飛,0.23,從事電子零組件買賣，並跨足電動車電池導電柄,車用鋰電池,4,8.7
2348,海悅,0.14,台灣房屋代銷龍頭業者,房屋代銷,15.19,107.8
2496,卓越,0.46,為補教教育服務商，旗下擁有陳立補習班,教育事業,1.91,12.6
2514,龍邦,0.38,中部地區首家上市建商,住宅建設,39.47,52.5
2614,東森,-0.5,主要從事寵物用品通路、新聞網站、倉儲業務,寵物用品,32.73,65.5
2904,匯僑,-1.26,台灣專業的石化倉儲廠,油品儲運／分銷,7.78,12.2
3040,遠見,-2.2,從事品牌授權、物業租賃及加值型服務,物業投資發展,6.62,26.5
5284,jpp-KY,1.94,客製化精密金屬機構件供應商,模具沖壓,5.29,194.1
5871,中租-KY,-0.44,台灣租賃業龍頭公司,租賃,171.14,1916.8
6184,大豐電,0,新北市最大有線電視公司,有線電視,16.21,73.9
6464,台數科,0.39,台灣唯一由本土有線電視業者成立的多系統經營者,有線電視,12.88,98.5
6504,南六,2.39,亞洲最大的水針不織布廠商之一,不織布,7.26,29.6
6585,鼎基,-0.43,全球前三大TPU產品生產商,PU樹脂,7.21,67.5
6592,和潤企業,0.33,和泰旗下車輛融資及租賃公司,汽車融資,62.32,379.5
6625,必應,-0.81,台灣最大的娛樂影音活動製作公司,影音娛樂,5.8,42.6
6655,科定,0,主要從事木製板材之製造商,木地板,8.06,111.6
6901,鑽石投資,8.08,台灣大型永續型生技創投公司,資產管理,85.29,119.8
6914,阜爾運通,0.69,主要從事停車場自動化設備製造及銷售、停車場收費及管理服務,停車場,6.62,96.7
6952,大武山,-1.33,台灣前三大雞蛋供應商之一,蛋業,6.83,25.3
6957,裕慶-KY,-0.31,商用展示架及電動床機構件研發商,金屬加工／製品,5.55,88.3
6958,日盛台駿,-0.26,台灣第四大租賃業公司,租賃,40.33,76.6
8033,雷虎,-9.43,全球前五大遙控模型玩具廠,玩具,15.26,219.8
8404,百和興業-KY,0.29,全球最大黏扣帶製造商,黏扣帶,41.99,72.2
8411,福貞-KY,0,大陸專業金屬包裝產品供應大廠,鋁罐,21.84,26.8
8442,威宏-KY,0,為全球知名運動用品及精品包袋代工製造商,手提箱,7.02,35.4
8463,潤泰材,-0.45,潤泰集團旗下水泥及預拌式泥作材料大廠,水泥,15,33.1
8466,美吉吉-KY,-0.32,全球知名塑膠地磚製造廠商,複合板,7.98,12.4
8481,政伸,-0.61,全球最大自行車貼標印刷公司,印刷業,6.66,27.1
8488,吉源-KY,-0.99,台商金屬飲料包材大廠,鋁罐,7.35,7.3
9902,台火,1.44,進口轎車、垃圾車、建材貿易商，亦從事小客車租賃及建營開發,貿易,9.8,13.8
9905,大華,0,台灣最大食品飲料綜合包裝容器廠,鋁罐,30.5,65
9907,統一實,-0.58,台灣馬口鐵第一大廠,馬口鐵罐,157.91,268.5
9917,中保科,-0.88,台灣最大的保全業者,保全業,45.12,509.9
9919,康那香,0.69,為國內衛生棉及化妝棉、濕紙巾之製造龍頭企業,不織布,19.54,28.6
9925,新保,-0.25,台灣第二大保全業者,保全業,38.75,156.2
9927,泰銘,-1.16,亞洲最大合金鉛製造廠商之一,鉛,12,82.1
9928,中視,0.28,台灣五家無線電視台之一,無線電視,7.07,12.5
9929,秋雨,-3.61,台灣第一家股票上市之印刷業者,印刷業,10.13,12.2
9933,中鼎,-0.95,台灣最大統包工程公司,工程顧問,94.55,328.2
9938,百和,1,全球最大黏扣帶製造商,黏扣帶,29.8,134.8
9939,宏全,7.62,台灣最大的飲料包材及飲料代工製造商,寶特瓶,29.58,354.9
9940,信義,-2.04,台灣主要房仲業者,房屋仲介,73.68,141.5
9941,裕融,-0.66,裕隆集團旗下汽車融資業者,汽車融資,57.56,432.9
9942,茂順,-0.82,台灣第一大、全球前五大密封元件製造商,油封,8.32,100.2
9944,新麗,3.64,東南亞最大的樹脂棉製造商之一,不織布,10.59,18.1
9945,潤泰新,0.85,潤泰集團旗下建商,營建,284.42,671.2
1584,精剛,1.49,台灣鋼鐵集團旗下合金鋼廠,合金鋼,23.25,47.4
2221,大甲,5.85,台灣最大不鏽鋼管配件製造商,不鏽鋼品,4.23,16.1
2724,藝舍-KY,-0.71,轉型為不動產代銷服務商,房屋代銷,5.97,8.4
3284,太普高,-1.41,台灣最大預塗式感光平版(PS版)廠,印刷業,10.85,18.9
3313,斐成,-2.56,上曜集團旗下以危老都更為主的建商,營建,22.11,25.2
4154,樂威科-KY,-7.32,精品皮件之金屬配件製造商,金屬加工／製品,3.84,4.4
4430,耀億,-1.17,全球第一大之網球拍線製造商,尼龍絲,5.63,9.5
4529,淳紳,-7.22,電動車代工製造商,電動車,8.45,3.8
4541,晟田,-4.69,台灣唯一生產飛機起落架零組件廠商,飛機零件／製造,6.76,30.9
4556,旭然,7.68,台灣最大的工業過濾設備製造商,水資源設備／耗材,4.23,19.3
5209,新鼎,0.3,中鼎旗下石化、煉油廠、交通機電等資訊系統工程SI廠,系統整合,2.86,47
5276,達輝-KY,0.26,奐鑫集團旗下嬰幼童產品及機車零組件廠,機車零組件,3.95,7.7
5314,世紀*,-2.02,上曜集團旗下，轉型多元化業務經營,食品生技,1.46,212
5345,馥鴻,0.46,全方位電源整合控制系統製造商,工業用電池,3.78,8.3
5398,慕康生醫,0,醫藥生技通路商，並推出保健食品及跨入健檢業務,醫藥流通,4.95,9.9
5450,南良,-3.05,主要經營特殊紡織品、高彈性發泡材料及電源供應器,紡織中游,12.24,15.5
5481,新華,0,主要經營「芝麻街」連鎖美語補習班及國高中補習服務,教育事業,7.14,14.7
5530,龍巖,-0.33,台灣殯葬產業龍頭,殯葬服務,42.01,189.5
5604,中連,-0.32,從事工業用不動產租賃業務,物業投資發展,10.88,34.2
6179,亞通,4.22,海外以菲律賓為主，從事能源工程相關業務,工程顧問,17.73,43.8
6199,天品,4.69,專營基督徒塔位銷售及殯葬服務,殯葬服務,6.18,62.1
6236,中湛,--,台灣從事基因檢測及資訊安全服務公司,資訊安全,4.17,7.9
6721,信實,-0.17,主要為國內運輸機構及公家機關提供清潔、機電及保全服務,保全業,2.25,12.9
6881,潤德,0.93,潤泰材旗下室內裝修設計公司,設計裝潢,1.5,40.9
6904,伯鑫,0,國內活動扳手之專業領導製造廠,手工具,1.85,21.5
7777,能率亞洲,0,台灣第二家掛牌的永續型創業投資公司,資產管理,18.25,52.5
8342,益張,0.46,台灣最大商用金屬展示架製造商,傢俱,3.35,29.5
8354,冠好,3.59,特殊商標專業製造廠，有粘標籤、自粘膠帶等,膠帶,7.85,12.4
8401,白紗科,0,台灣合版印刷龍頭,印刷業,7.07,17.1
8421,旭源,0.73,飲料標籤及生產設備製造商,印刷業,5.48,7.5
8426,紅木-KY,0,國際精品的裝潢承包商,設計裝潢,5.02,11.4
8435,鉅邁,-0.54,台灣前三大工業水處理藥劑公司,其他化工產品,3.52,19.6
8437,大地-KY,-2.94,大陸知名幼教品牌，提供幼教諮詢服務,教育事業,4.7,5.4
8444,綠河-KY,6.72,泰國塑合板與橡膠木實木板材產銷商,複合板,11.12,7.9
8489,三貝德,0.81,致力於K12數位教學及品牌代理授權業者,教育事業,5.99,15
8905,裕國,-9.84,主要從事肉品、冷凍冷藏倉儲、營建業務,肉品加工,11.94,39.4
8906,花王,-1.96,知名一貫化印製作業廠,印刷業,4.4,11
8916,光隆,-0.84,國內知名的羽絨原料加工及寢具製造商,成衣製造,15.04,71.1
8921,沈氏,--,永豐餘集團轉投資之印刷廠,印刷業,4.66,8.4
8929,富堡,-1.71,主要生產不織布及成人紙尿褲產品,不織布,5.06,7.3
8932,智通*,0,台灣最大拉鍊製造商,拉鍊,8.95,331.1
8935,邦泰,-2.16,台灣鞋材及複合材料研發生產大廠,複合材料,11.35,20.5
8936,國統,-2.69,專營輸水管材之製造與承包公司，並兼營海水淡化業務,水泥製品,24.81,125.5
8937,合騏*,1.02,自創品牌「ADLY」多功能休閒車專業製造廠商,沙灘車,10.79,148.9
8942,森鉅,2.71,台灣最大鋁塑複合板製造商,複合板,19.88,90.3
2926,誠品生活,-0.54,誠品集團旗下百貨通路及餐旅業者,百貨業,4.74,17.5
3064,泰偉,-0.72,台灣博奕遊戲與博奕機台公司,PC遊戲,1.3,2.7
3083,網龍,-0.37,智冠轉投資線上遊戲開發商,PC遊戲,8.65,23.2
3086,華義*,0.38,台灣知名遊戲軟體業者,PC遊戲,2.73,109.2
3293,鈊象,-0.54,台灣商用遊戲機與網路遊戲大廠,PC遊戲,28.18,2060
3546,宇峻,0.59,台灣知名線上遊戲開發商,PC遊戲,5.84,39.7
3629,地心引力,8.13,主要從事整合行銷公關服務,廣告,3.3,5.9
4806,桂田文創,4.29,台灣第一家掛牌電視劇製作公司,影音娛樂,9.99,10.9
4946,辣椒,-1.4,台灣知名休閒遊戲運營商,PC遊戲,0.89,9.3
5263,智崴,0.48,台灣最大體感遊戲設備商,商用遊戲機,7.39,76.9
5478,智冠,0,台灣最大遊戲公司，橫跨研發、營運和通路行銷等業務,PC遊戲,15.61,150.3
6101,寬魚國際,-1.28,從事流行音樂商演、活動賽事舉辦等業務,影音娛樂,11.47,44.4
6111,光聚晶電,-1.24,集團橫跨半導體、資安、重電、遊戲、餐飲、電子支付等領域,控股公司,10.91,52.2
6144,得利影,4.9,代理知名美國片商DVD及BD在台發行之公司,文化創意產業,3.83,5.7
6169,昱泉,-1.81,台灣網路遊戲研發及代理商,PC遊戲,2.34,3.8
6180,橘子,0.38,台灣遊戲軟體開發與營運知名企業,PC遊戲,17.55,69.1
6294,智基,0.79,主要經營公職補習「志光」及升學補習「超級考試王」,教育事業,2.6,8.3
6482,弘煜科,-2.17,智冠、宇峻轉投資的網頁及手機遊戲廠,PC遊戲,2.86,8.4
6542,隆中,-1.15,台灣手機遊戲開發及代理商,手機遊戲,4.2,19.8
6596,寬宏藝術,5.58,從事國內外演唱會、藝文活動之主辦與代理,文化創意產業,3.8,39.5
6856,鑫傳,0.2,台數科轉投資衛星電視台、節目製作、電視購物公司,有線電視,2.82,14.4
7584,樂意,-1.35,台灣知名遊戲代理營運商,PC遊戲,1.65,5.4
8446,華研,0.6,亞洲跨國唱片製作及歌手經紀人公司,演出經紀,5.29,44.6
8450,霹靂,0,台灣布袋戲文創業者,文化創意產業,5.13,8.2
8923,時報,--,台灣大型出版社之一,出版業,3.04,5.8
9949,琉園,-2.04,以「tittot琉園」為品牌之水晶玻璃藝術品業者,工藝品,4.49,10.6
1240,茂生農經,0,家禽家畜飼料、大宗原料供應商,飼料,4.42,26.1
4171,瑞基,0,全球最大蝦類白點病毒檢測試劑廠,農業生技,5.81,10.8
6508,惠光,-0.2,台灣第二大農藥及全球第三大地工膜廠商,農藥,8.65,21.2
6578,達邦蛋白,-2.32,亞洲唯一具有微生物醱酵技術的飼料廠商,農業生技,7.19,10.6
