代碼,商品,漲幅%,產業地位,細產業,股本,市值
6903,巨漢,-4.03,無塵室及機電空調之統包工程廠商,廠務工程,6.67,270
7703,銳澤,0.48,朋億旗下，高科技產業廠務及製程設備廠商,設備儀器商,3.47,73.1
7728,光焱科技,-2.38,光電子晶片(PIC)檢測大廠,IC檢測設備,1.39,108.2
7792,安葆,-2.02,提供能源運用規劃及電力系統規劃解決方案,重電設備,4.67,147.5
8047,星雲,-0.74,世界知名的電腦割字機製造大廠,設備儀器商,4.17,22.3
8085,福華,-1.22,大同集團旗下電子零組件廠,其他電子零件,14,17
8092,建暐,-0.55,IC封裝模具及量測儀器廠製造商,量測儀器,5.72,10.3
8183,精星,-1.71,專業電子製造服務(EMS)廠商,電子製造服務,12.13,38.4
8431,匯鑽科,0.33,亞太知名表面處理大廠,機殼表面處理,4.88,29.7
8455,大拓-KY,7.5,國內知名的電機、電子零組件代理經銷商,電子元件代理商,2.52,7
1316,上曜,2.23,上曜集團旗下豪宅品牌,營建,40.16,42.2
1436,華友聯,-0.31,主打首購族及換屋族市場的建商,營建,19.42,94.6
1438,三地開發,6.11,開發以台南及高雄地區為主力的建商,營建,11.12,24.1
1439,雋揚,-0.74,國揚集團旗下，著重開發危老及都更計畫,營建,9.2,24.5
1442,名軒,-0.74,麗寶集團旗下成員,營建,36.62,98.5
1453,大將,-0.43,主要經營營建開發及紡織買賣,營建,11.32,13.1
1456,怡華,3.17,元邦集團旗下，為綜合性紡織廠及營建商,營建,9.37,13.7
1472,三洋實業,-0.33,承建公共工程、商辦、住宅等營造工程,基礎建設,5.25,47.7
1805,寶徠,-4.19,知名建案「寶徠花園廣場」建商,營建,13.5,13.9
1808,潤隆,1.58,興富發集團旗下建商,營建,89.3,258.1
2442,新美齊,0.8,著重於高質感不動產開發,營建,32.52,61.1
2501,國建,-1.52,屬霖園集團之台灣老牌營建開發業者,營建,115.96,262.6
2504,國產,0.14,台灣知名預拌混凝土大廠,預拌混凝土,118,410.6
2505,國揚,-0.56,整合百貨、飯店、休閒、地產的營建商,營建,38,67.1
2506,太設,-1.03,多角化經營建設、百貨及休閒等事業,營建,38.7,33.5
2509,全坤建,-1.49,推案集中於大台北地區的建商,營建,22.46,29.6
2511,太子,0.13,統一集團旗下建商,營建,162.33,126.9
2515,中工,0.76,威京集團旗下，建築工程廠商,基礎建設,160.79,212.2
2516,新建,-1.14,主要承攬公共工程為主之營造廠商,基礎建設,22.63,29.5
2520,冠德,1.83,大台北地區的中大型建商,營建,60.95,186.5
2524,京城,-0.14,高雄地區知名建商,營建,36.6,134.7
2527,宏璟,-0.87,日月光旗下建商,營建,27.03,92.9
2528,皇普,0.22,以大台北地區推案為主的建商,營建,43.6,97.2
2530,華建,-1.4,推案集中於大台北地區的建商,營建,84.13,178.3
2534,宏盛,0,宏泰集團旗下建商，以仁愛帝寶豪宅推案而知名,營建,47.42,88.9
2535,達欣工,0.27,台灣主要甲級營造廠之一,住宅建設,27.08,201.5
2536,宏普,-0.73,推案集中於大台北地區之建商,營建,33.28,68.2
2537,聯上發,0,聯上集團旗下負責大台北及桃園地區推案的建商,營建,30.06,30.8
2538,基泰,-1.61,推案集中於大台北地區之建商,營建,44.5,43.6
2539,櫻花建,1.02,推案集中於大台中地區之建商,營建,119.31,474.3
2540,愛山林,0.39,甲山林旗下建商及代銷商,房屋代銷,94.49,486.6
2542,興富發,4.13,台灣前十大推案建商,營建,217.31,905.1
2543,皇昌,2.49,主要承攬公共工程之營造廠,基礎建設,52.85,228.6
2545,皇翔,0,推案集中於大台北地區建商，知名推案為皇翔御琚,營建,37.97,147.9
2546,根基,-0.23,冠德旗下，住宅及土木工程營造廠,住宅建設,13.05,111.2
2547,日勝生,-0.49,以政府開發案起家，橫跨建築、百貨及觀光的中型建商,營建,103.51,106.1
2548,華固,4.86,大台北地區中型建商，並轉向地上權開發,營建,31.97,414
2597,潤弘,2.56,潤泰集團旗下，營造廠商,住宅建設,31.07,497.1
2923,鼎固-KY,-1.42,日月光轉投資的房地產開發商,營建,174.03,484.7
3052,夆典,0.47,提供工程整合服務之廠商,營建,23.32,25
3056,富華新,1.12,推案集中於中部地區之建商,營建,48.06,65.1
3266,昇陽,-1.45,推案集中於大台北地區之建商,營建,35.23,47.7
3703,欣陸,0.24,由大陸建設換股成立之建設、營造控股公司,基礎建設,82.32,170.8
5515,建國,-3.38,建築統包工程服務商,住宅建設,20.16,77.8
5519,隆大,-0.45,綜合營造及住宅大樓開發商,營建,21.92,72.2
5521,工信,4.76,台灣前十大營造廠,基礎建設,49.23,59.6
5522,遠雄,3.86,以營建地產、休閒娛樂為核心的企業集團,營建,78.16,568.2
5525,順天,-0.43,台中地區建商,營建,31.81,74.4
5531,鄉林,-0.83,推案以中部地區為主之建商，並跨足觀光旅館經營,營建,97.76,82.1
5533,皇鼎,-0.36,主要於大台北地區推案的建商,營建,28.52,39.9
5534,長虹,1.28,以廠辦及住宅開發案為主之建商,營建,31.53,250.4
5546,永固-KY,-1.21,大陸重慶地區預拌混凝土領導廠商,預拌混凝土,8.24,13.5
6177,達麗,0.53,推案集中於林口、竹北、高雄等地，近年業務拓展至美國西雅圖,營建,47.19,222
9906,欣巴巴,0,高雄巴巴集團旗下建商,營建,9.04,32.7
9946,三發地產,2.79,全心投控轉投資公司，以都會區為主要開發標的,營建,32.66,54.2
2596,綠意,1.9,桃園及台北地區小型建商,營建,10,29.5
2718,全心投控,-1.2,由飯店業跨入不動產開發產業,營建,8.76,36.1
3188,鑫龍騰,-1.03,以開發南部不動產商品為主,營建,18.86,45.5
3489,森寶,1.13,森聯旗下，房地產開發商,住宅建設,9.05,20.3
3512,皇龍,0.74,從事營建事業及散熱片設計製造,營建,11.31,23
3521,台鋼建設,-3.28,從事營建及POS機系統業務,營建,14.58,19.3
4113,聯上,-0.67,聯上集團旗下負責南部推案的建商,營建,23.11,34.1
4416,三圓,-0.8,從事國民住宅興建及出租出售業務,營建,7.36,9.2
4907,富宇,5.91,富宇建設集團成員之一，針對竹科及中科週邊進行開發,營建,11.81,46.6
5206,坤悅,0.82,推案集中於台中地區之建商,營建,17.15,42
5213,亞昕,-0.39,推案集中於大台北地區之建商,營建,72.13,186.5
5324,士開,0.94,仰德集團旗下之建設、飯店業者,營建,22.64,24.2
5455,昇益,-4.26,從事不動產開發興建及不動產租賃業務,營建,6.55,16.2
5508,永信建,1.32,高雄建商，以成屋銷售為主,營建,21.74,108.2
5511,德昌,-1.41,商辦大樓、高科技廠房及公共工程等為營業項目之營造商,住宅建設,11.34,79.2
5512,力麒,-0.72,力麗集團旗下建商、環衛營造商,營建,76.63,53
5514,三豐,-2.25,以都市更新為主之建商,營建,23.61,35.9
5516,雙喜,1.87,承攬各項公共、建築及土木工程之營造廠,住宅建設,5.15,5.6
5520,力泰,-0.12,台灣預拌混凝土製造加工廠,預拌混凝土,6,48.6
5523,豐謙,0,嘉義地區建商,營建,15.5,47
5529,鉅陞,-0.23,推案集中於新竹地區之建商,營建,10.18,22.3
5543,桓鼎-KY,0.68,亞洲知名金屬龍骨生產廠商,金屬建材,4.67,13.8
5547,久舜,0.46,主要承攬住宅及廠辦及相關工程,住宅建設,4.53,9.9
5548,安倉,0,承攬政府公共工程的統包公司,基礎建設,5.78,13.6
6171,大城地產,--,大城建設入主的中部不動產開發商,營建,10,24.4
6186,新潤,-0.75,推案以台鐵、高鐵及捷運沿線為主之建商,營建,19.49,77.3
6198,瑞築,0,主打首購族市場的不動產開發公司,營建,17.14,37.2
6212,理銘,5.08,主力開發新竹地區的建商,營建,10.2,30.6
6219,富旺,-1.15,以台中為核心擴展至全省跨區經營的建商,營建,12.5,16.1
6264,富裔,0.16,入主德士通，以雙北及基隆地區為主的營建公司,營建,13.64,8.3
8080,泰霖,-2.38,營建剩餘土石方工程商,土石方工程商,6.72,19.3
8424,惠普,-0.13,台灣最大矽酸鈣板廠,複合板,3.61,26.7
2208,台船,-6.91,台灣第一大造船公司,造船業,127.45,234
2603,長榮,1.18,全球前七大貨櫃航商，且為台灣最大,貨櫃航運,216.5,4633.2
2605,新興,3.18,台灣前四大散裝船商,散裝航運,58.54,199.6
2606,裕民,0.46,台灣最大散裝航運公司之一,散裝航運,84.51,551.8
2607,榮運,1.04,長榮集團旗之內陸貨櫃運輸及倉儲服務業者,物流業,53.36,258.2
2608,嘉里大榮,-0.17,台灣大型物流貨運公司，港資嘉里物流為最大股東,物流業,46.7,139.9
2609,陽明,1.8,台灣第二大貨櫃海運公司,貨櫃航運,349.21,1774
2610,華航,3.23,台灣前兩大航空公司,空運,614.5,1165.1
2611,志信,2.24,多角化經營陸運、加油站、營建、飯店業務,陸運,18.9,25.9
2612,中航,-1.04,台灣散裝航運業者，且是具規模的貨櫃運輸業者,散裝航運,19.75,113.2
2613,中櫃,0.22,在台灣北、中、南擁有貨櫃集散場之公司,貨櫃場服務,14.84,33.2
2615,萬海,2.61,亞洲大型貨櫃輪航商,貨櫃航運,280.61,2202.8
2617,台航,-0.51,主營散裝航運，兼營客貨輪與特種船舶代營,散裝航運,41.73,122.1
2618,長榮航,0.56,台灣前兩大航空公司,空運,540.04,1936.1
2630,亞航,-9.52,台灣專業航空器修護公司,飛機維修,20.94,95.5
2633,台灣高鐵,0.75,台灣高速鐵路運輸服務公司,鐵路運輸,562.83,703.1
2634,漢翔,-5.79,台灣航太產業領導者,飛機零件／製造,94.19,444.6
2636,台驊控股,1.18,台灣第一家海運承攬上市公司，為物流控股公司,海空運承攬業,14.18,97.2
2637,慧洋-KY,-0.13,台灣具規模的散裝船隊船東之一,散裝航運,74.64,556.1
2642,宅配通,0.47,東元與日本通運合資成立的宅配服務業者,物流業,9.55,20.6
2645,長榮航太,-5.79,長榮航旗下，全球十大飛機維修公司之一,飛機維修,37.46,578.7
2646,星宇航空,-0.49,主要提供國際間客、貨運輸服務,空運,300.87,616.8
5607,遠雄港,-2.5,一家控股公司，並經營海、陸、空聯運之自由貿易港區,貨櫃場服務,37.06,187.5
5608,四維航,0,以輕型散裝船為主的散裝航運業者,散裝航運,38.93,59
6753,龍德造船,-9.31,台灣民營造船業者,造船業,11.73,154.2
6757,台灣虎航,-3.16,華航旗下的廉價航空公司,空運,45.95,253.7
8367,建新國際,-0.24,台灣從事貨櫃場服務之業者,貨櫃場服務,9.22,38.7
2641,正德,-0.28,以亞洲近洋航線為主力之散裝航運業者,散裝航運,33.03,59.5
2643,捷迅,-0.89,台灣承攬航空貨運、海運與報關業務之物流業者,海空運承攬業,3.5,23.4
