符合條件商品
資料日期：2026年  5月  5日
策略,	新策略(2)
"序號","代碼","商品","成交","漲幅%","總量","收盤價","產業","細產業","所有細產業",產業地位
329	,"2388.TW","威盛","79.9","-3.85","22161","79.9","上市半導體","CPU","車用電子,CPU,其他IC,IC設計,晶片組,嵌入式晶片,高速傳輸介面IC,顯示器,數位看板",支援x86平台之IC解決方案廠商
330	,"2392.TW","正崴","38.35","3.23","3441","38.35","上市電子零組件","連接器","工業用電池,車用鋰電池,電源供應器,連接器,消費用電池,電子零件元件,3C通路商,電子通路,電池,週邊產品,連接線材",生產3C產品連接器、電池模組、電源管理模組之廠商
331	,"2393.TW","億光","72.3","0.84","3859","72.3","上市光電","LED封裝","LED,LED封裝,LED照明產品",全球前十大LED封裝廠
332	,"2395.TW","研華","396.5","0.38","5247","396.5","上市電腦及週邊設備","工業電腦","工業電腦",全球工業電腦龍頭廠商
333	,"2397.TW","友通","58.9","4.43","174","58.9","上市電腦及週邊設備","工業電腦","工業電腦",佳世達轉投資工業電腦嵌入式解決方案供應商
334	,"2399.TW","映泰","43.1","-1.49","13596","43.1","上市電腦及週邊設備","主機板","主機板,工業電腦,繪圖卡,電腦系統業",台灣主機板、顯示卡廠商
335	,"2401.TW","凌陽","25.15","-0.59","7226","25.15","上市半導體","消費性IC","DSP,IC設計,消費性IC,光碟機驅動IC,設計IP,影音IC",台灣多媒體IC設計廠商
336	,"2402.TW","毅嘉","72.6","0.41","10351","72.6","上市電子零組件","軟板","其他電子零件,電子零件元件,軟板,印刷電路板相關",軟板及塑膠機構件廠
337	,"2404.TW","漢唐","977","-0.1","2895","977","上市其他電子","廠務工程","電子其他,廠務工程",台積電最大的無塵室供應商
338	,"2405.TW","輔信","15.6","1.63","1953","15.6","上市電腦及週邊設備","準系統","福祉輔助設備,輔助與彌補用醫材,準系統,電腦系統業",台灣準系統廠
339	,"2406.TW","國碩","32.7","0.15","10853","32.7","上市光電","太陽能系統運用","太陽能,太陽能系統運用,太陽能導電漿",提供太陽電池關鍵材料與發電系統整合服務商
340	,"2408.TW","南亞科","256.5","8.23","207567","256.5","上市半導體","DRAM","DRAM,IC製造",台塑集團旗下DRAM大廠
341	,"2409.TW","友達","17.85","5.31","283447","17.85","上市光電","TFT-LCD","面板業,中小尺吋面板,TFT-LCD,OLED,LED,MicroLED,觸控面板",全球前五大面板大廠之一
342	,"2412.TW","中華電","136","0.37","5345","136","上市通信網路","電信／數據服務","多軌道衛星,網通設備,電信/數據服務,通訊服務,行動通訊",台灣電信業龍頭
343	,"2413.TW","環科","45.3","1.46","1224","45.3","上市電子零組件","電源供應器","電源供應器,變壓器,被動元件,電感,電子零件元件,電子製造服務,電腦系統業",電源供應器及變壓器製造廠商
344	,"2414.TW","精技","46.1","-0.32","131","46.1","上市電子通路","電腦通路商","電腦通路商,電子通路",台灣前三大資訊通路經營商
345	,"2415.TW","錩新","27","0.75","133","27","上市電子零組件","音響設備及零件","證券,金融業,其他電子零件,電子零件元件,音響設備及零件",全球最大揚聲器鍛造零組件廠
346	,"2417.TW","圓剛","56.9","9.85","10352","56.9","上市電腦及週邊設備","視訊會議產品","視訊轉換相關,消費性電子產品,視訊會議產品",台灣知名影音視訊媒體解決方案商
347	,"2419.TW","仲琦","31.4","2.45","2138","31.4","上市通信網路","接取設備","用戶端設備,網通設備,接取設備,數據機,系統整合,軟體業",台灣Cable CPE與系統整合業者
348	,"2420.TW","新巨","55.4","0","175","55.4","上市電子零組件","電源供應器","電源供應器,電子零件元件,程式開關",台灣聚焦高階電源供應器與知名微動開關廠
349	,"2421.TW","建準","149.5","-0.33","7904","149.5","上市電子零組件","散熱風扇馬達","散熱風扇馬達,散熱模組",PC散熱風扇知名廠商
350	,"2423.TW","固緯","66.5","7.43","592","66.5","上市其他電子","量測儀器","設備儀器商,量測儀器",台灣知名的電子量測儀器廠
351	,"2424.TW","隴華","19.95","-2.21","185","19.95","上市通信網路","通訊服務","低軌道衛星,網通設備,通訊服務",海上衛星寬頻營運商
352	,"2425.TW","承啟","32.25","4.54","870","32.25","上市電腦及週邊設備","繪圖卡","伺服器,主機板,AI伺服器,繪圖卡,電腦系統業",七彩虹轉投資顯示卡、主機板、伺服器公司
353	,"2426.TW","鼎元","69.3","10","6019","69.3","上市光電","LED晶粒","LED,LED晶粒,MicroLED,分離式元件,二極體,電晶體,光通訊,光纖主動元件",台灣大型LED晶粒切割、檢測廠
354	,"2427.TW","三商電","21.65","2.61","699","21.65","上市資訊服務","系統整合","傳產其他,金融機具,系統整合,軟體業",以金融、電訊與交通產業為主之系統整合商
355	,"2428.TW","興勤","185.5","1.92","1594","185.5","上市電子零組件","熱敏電阻","被動元件,熱敏電阻,壓敏電阻",全球知名熱敏電阻廠
356	,"2429.TW","銘旺科","51.4","-0.96","393","51.4","上市光電","玻璃基板加工","面板零組件,玻璃基板加工",玻璃基板及加工製造商
357	,"2430.TW","燦坤","20","0.25","60","20","上市電子通路","3C通路商","3C通路商,電子通路,電器銷售,家電",全台最大3C連鎖通路
358	,"2431.TW","聯昌","11","2.33","364","11","上市電子零組件","電源供應器","電源供應器,電子零件元件",東元轉投資，為一家電源電控廠
359	,"2433.TW","互盛電","45.2","-0.11","30","45.2","上市其他電子","事務機器","電子其他,事務機器,辦公用品設備",日本理光辦公事務機器之台灣代理商
360	,"2434.TW","統懋","32.6","7.59","238","32.6","上市半導體","二極體","分離式元件,二極體,電晶體",台灣上下游垂直整合之二極體廠
361	,"2436.TW","偉詮電","73.5","-0.81","5558","73.5","上市半導體","類比IC","馬達IC,類比IC,IC設計,消費性IC,PC週邊IC,MCU,LED驅動IC,IC零組件通路商,電子通路",台灣類比IC暨消費性IC設計廠商
362	,"2438.TW","翔耀","23.4","2.63","331","23.4","上市光電","玻璃基板加工","面板零組件,玻璃基板加工,小家電,家電,配電工程,電力設備",主要經營玻璃基板薄化加工及機電設備
363	,"2439.TW","美律","89.5","1.02","2070","89.5","上市通信網路","耳機","藍牙耳機,電聲產品,耳機,微型揚聲器",電聲元件大廠
364	,"2440.TW","太空梭","18.75","4.46","1379","18.75","上市電子零組件","裸銅線","電線電纜,裸銅線",台灣絞銅線及3C連接線材公司
365	,"2441.TW","超豐","94","1.73","18196","94","上市半導體","IC封裝","IC封裝,IC測試,IC封裝測試",全球記憶體封測廠
366	,"2442.TW","新美齊","18.5","1.09","1010","18.5","上市建材營造","營建","營建,地產",著重於高質感不動產開發
367	,"2444.TW","兆勁","13.7","1.86","579","13.7","上市通信網路","無線網路設備系統(WLAN)","用戶端設備,無線網路設備系統(WLAN),網通設備,物聯網裝置",台灣無線網路設備代工廠
368	,"2449.TW","京元電子","354","6.47","60763","354","上市半導體","IC測試","IC封裝,IC測試,IC封裝測試",全球IC測試領域龍頭公司
369	,"2450.TW","神腦","29.6","0","144","29.6","上市通信網路","手機零售通路商","手機零售通路商,3C通路商,電子通路",中華電信轉投資之數位產品通路代理商
370	,"2451.TW","創見","283","6.59","12639","283","上市半導體","記憶體模組","電子零件元件,DRAM模組,Flash模組,記憶體模組",「Transcend」品牌之記憶體模組廠
371	,"2453.TW","凌群","55.1","2.61","613","55.1","上市資訊服務","系統整合","系統整合,軟體業,雲端科技,Internet技術與基礎設施",以金融業為主的系統整合大廠
372	,"2454.TW","聯發科","3155","9.93","10092","3155","上市半導體","手機晶片相關","DSL晶片組,無線網路IC,衛星導航晶片組,數據機晶片組,CPU,IC設計,網路通訊IC,消費性IC,光碟機驅動IC,LCD控制IC,影音IC,數位電視IC,手機晶片相關,手機零組件",全球智慧型手機晶片大廠
373	,"2455.TW","全新","386.5","8.87","28752","386.5","上市通信網路","光通訊元件磊晶","砷化鎵相關,第三類半導體,光通訊元件磊晶,IC製造",全球前三大砷化鎵HBT磊晶片廠
374	,"2457.TW","飛宏","25.65","3.64","3479","25.65","上市電子零組件","電源供應器","電源供應器,電子零件元件",電源供應器領導廠商
375	,"2458.TW","義隆","140.5","2.18","4793","140.5","上市半導體","觸控IC","IC設計,消費性IC,PC週邊IC,MCU,生物辨識IC,觸控IC",全球NB觸控板模組與觸控IC龍頭
376	,"2459.TW","敦吉","66.8","0.15","118","66.8","上市其他電子","電子元件代理商","檢測驗證服務,電子元件代理商,電子通路,設備儀器商",經營通路、製造、驗證三大事業群
377	,"2460.TW","建通","34","-3.13","2083","34","上市電子零組件","其他電子零件","其他電子零件,電子零件元件",亞洲最大電器類端子製造廠
378	,"2461.TW","光群雷","17.25","2.68","666","17.25","上市其他電子","電子其他","面板零組件,光學膜,電子其他",全球重要知名雷射全像材料整合供應商
379	,"2462.TW","良得電","21.1","0.96","358","21.1","上市電子零組件","連接線材","電子零件元件,連接線材",台灣知名電源線製造商
380	,"2464.TW","盟立","113","-2.59","18019","113","上市其他電子","面板設備","半導體製程設備,軟體業,軟體通路／代理,設備儀器商,面板設備,自動化設備,機器人,產業機械",台灣工業自動化設備廠
381	,"2465.TW","麗臺","89.5","9.95","8479","89.5","上市電腦及週邊設備","繪圖卡","繪圖卡,電腦系統業",台灣繪圖卡廠商
382	,"2466.TW","冠西電","54.5","-3.88","689","54.5","上市光電","LED照明產品","LED,LED照明產品,光通訊,光纖被動元件",LED裝飾燈及光電元件製造商
383	,"2467.TW","志聖","571","-1.55","3573","571","上市電子零組件","PCB相關設備","PCB相關設備,半導體製程設備,設備儀器商,面板設備",印刷電路板製程用壓膜機知名大廠
384	,"2468.TW","華經","34.2","0.74","237","34.2","上市資訊服務","系統整合","系統整合,軟體業",以數位影像處理為主的系統整合商
385	,"2471.TW","資通","52.7","0.19","254","52.7","上市資訊服務","系統整合","系統整合,軟體業,企業資源規劃,客戶關係管理,應用軟體",以金融業及製造業為主的系統整合廠商
386	,"2472.TW","立隆電","188.5","2.45","4274","188.5","上市電子零組件","鋁質電解電容","被動元件,鋁質電解電容,被動元件上游",台灣第一大鋁電解電容器廠
387	,"2474.TW","可成","212.5","1.43","3611","212.5","上市其他電子","鎂鋁合金","電子零件元件,鎂鋁合金",台灣知名的金屬機殼製造大廠
388	,"2476.TW","鉅祥","116","1.75","4603","116","上市電子零組件","模具沖壓","模具沖壓,電子零件元件",台灣沖壓件暨機構件大廠
389	,"2477.TW","美隆電","20.55","-0.48","227","20.55","上市其他電子","音響設備及零件","電子零件元件,音響設備及零件",台灣最大音箱及揚聲器製造廠之一
390	,"2478.TW","大毅","77.1","7.98","9693","77.1","上市電子零組件","晶片電阻","被動元件,晶片電阻",台灣知名晶片電阻製造商
391	,"2480.TW","敦陽科","150","2.39","597","150","上市資訊服務","系統整合","資訊安全,系統整合,軟體業,雲端科技,Internet技術與基礎設施",台灣資訊系統整合服務大廠
392	,"2481.TW","強茂","102","2.31","12112","102","上市半導體","二極體","分離式元件,二極體,電晶體",台灣最大二極體廠
393	,"2482.TW","連宇","16.75","0.6","174","16.75","上市其他電子","IC讀卡機","週邊產品,IC讀卡機",台灣讀卡機等電子支付交易設備廠
394	,"2483.TW","百容","23.4","2.41","364","23.4","上市電子零組件","其他電子零件","連接器,其他電子零件,電子零件元件,導線架,程式開關,封測服務與材料,電機,電氣零件與設備,電力設備",台灣知名程式開關兼繼電器供應商
395	,"2484.TW","希華","42.55","2.53","2172","42.55","上市電子零組件","石英元件","被動元件,石英元件,濾波器,振盪器",台灣石英元件大廠
396	,"2485.TW","兆赫","68.7","6.51","70379","68.7","上市通信網路","視訊轉換相關","網通設備,低雜訊降頻器,視訊轉換相關,消費性電子產品",機上盒、LNB、有線電視傳輸設備製造商
397	,"2486.TW","一詮","307","3.19","23372","307","上市光電","導線架","面板零組件,背光模組,LED,LED散熱基板,導線架,封測服務與材料",台灣LED導線架大廠
398	,"2488.TW","漢平","51.3","0.98","180","51.3","上市其他電子","音響設備及零件","電子零件元件,音響設備及零件",台灣娛樂音訊產品ODM製造商
399	,"2489.TW","瑞軒","46.2","10","87302","46.2","上市光電","液晶電視","顯示器,LCD顯示器,家電,液晶電視",台灣知名液晶電視及顯示器代工廠
400	,"2491.TW","吉祥全","17.35","9.81","910","17.35","上市光電","LED照明產品","LED,LED照明產品",主要從事照明應用產品製造及銷售
401	,"2492.TW","華新科","148.5","7.22","18327","148.5","上市電子零組件","MLCC","被動元件,MLCC,晶片電阻,電容",全球前五大MLCC廠
402	,"2493.TW","揚博","136","9.68","4686","136","上市電子零組件","PCB相關設備","PCB相關設備,半導體材料通路商,電子通路,設備儀器商,面板設備",全球最大的PCB濕製程大廠
403	,"2495.TW","普安","41.65","2.46","5427","41.65","上市電腦及週邊設備","磁碟陣列控制器","週邊產品,磁碟陣列控制器",全球前十大磁碟陣列及NAS系統供應商
404	,"2496.TW","卓越","64.5","0","5","64.5","上市其他","教育事業","服務業,教育事業",為補教教育服務商，旗下擁有陳立補習班
405	,"2497.TW","怡利電","55.2","2.6","579","55.2","上市汽車","車載影音系統","車用電子,胎壓監測系統,車載影音系統,行車紀錄器,抬頭顯示器(HUD)",國內車載影音主機大廠
406	,"2498.TW","宏達電","41","-0.24","4661","41","上市通信網路","智慧型手機","手機,手機製造,軟體業,虛擬實境,智慧型手機,消費性電子產品,穿戴式裝置",以HTC品牌行銷全球前十大智慧型手機廠商
407	,"2501.TW","國建","22.5","0","2460","22.5","上市建材營造","營建","營建,地產",屬霖園集團之台灣老牌營建開發業者
408	,"2504.TW","國產","34.7","-1","3038","34.7","上市建材營造","預拌混凝土","水泥,預拌混凝土,資產股",台灣知名預拌混凝土大廠
409	,"2505.TW","國揚","18.05","-0.82","705","18.05","上市建材營造","營建","營建,地產",整合百貨、飯店、休閒、地產的營建商
410	,"2509.TW","全坤建","13.5","0.75","238","13.5","上市建材營造","營建","營建,地產",推案集中於大台北地區的建商
411	,"2514.TW","龍邦","13.25","0","54","13.25","上市其他","住宅建設","營建,住宅建設,地產,營造工程",中部地區首家上市建商
412	,"2515.TW","中工","13.05","0","2553","13.05","上市建材營造","基礎建設","配電工程,電力設備,住宅建設,基礎建設,營造工程",威京集團旗下，建築工程廠商
413	,"2516.TW","新建","13.45","-3.24","294","13.45","上市建材營造","基礎建設","住宅建設,基礎建設,營造工程",主要承攬公共工程為主之營造廠商
414	,"2520.TW","冠德","28.75","-1.37","2266","28.75","上市建材營造","營建","營建,住宅建設,地產,營造工程",大台北地區的中大型建商
415	,"2524.TW","京城","36.1","-0.82","68","36.1","上市建材營造","營建","營建,地產",高雄地區知名建商
416	,"2527.TW","宏璟","33.9","-2.73","555","33.9","上市建材營造","營建","營建,地產",日月光旗下建商
417	,"2528.TW","皇普","22.45","0.22","919","22.45","上市建材營造","營建","營建,地產",以大台北地區推案為主的建商
418	,"2530.TW","華建","20.4","0.99","1293","20.4","上市建材營造","營建","營建,地產",推案集中於大台北地區的建商
419	,"2534.TW","宏盛","18.75","-0.79","799","18.75","上市建材營造","營建","營建,地產,物業投資發展",宏泰集團旗下建商，以仁愛帝寶豪宅推案而知名
420	,"2535.TW","達欣工","72.7","-0.82","352","72.7","上市建材營造","住宅建設","住宅建設,基礎建設,營造工程",台灣主要甲級營造廠之一
421	,"2536.TW","宏普","20.9","-0.95","218","20.9","上市建材營造","營建","營建,地產",推案集中於大台北地區之建商
422	,"2537.TW","聯上發","10.25","0","581","10.25","上市建材營造","營建","營建,地產",聯上集團旗下負責大台北及桃園地區推案的建商
423	,"2539.TW","櫻花建","39.9","-0.99","1641","39.9","上市建材營造","營建","營建,地產",推案集中於大台中地區之建商
424	,"2540.TW","愛山林","51","-4.85","1065","51","上市建材營造","房屋代銷","房屋代銷,住宅建設,地產,營造工程",甲山林旗下建商及代銷商
425	,"2542.TW","興富發","39.7","-0.63","8322","39.7","上市建材營造","營建","營建,地產",台灣前十大推案建商
426	,"2543.TW","皇昌","44.25","-2.32","2815","44.25","上市建材營造","基礎建設","基礎建設,營造工程",主要承攬公共工程之營造廠
427	,"2545.TW","皇翔","38.05","0.66","338","38.05","上市建材營造","營建","營建,地產",推案集中於大台北地區建商，知名推案為皇翔御琚
428	,"2546.TW","根基","85.2","0.47","54","85.2","上市建材營造","住宅建設","住宅建設,基礎建設,營造工程",冠德旗下，住宅及土木工程營造廠
429	,"2547.TW","日勝生","10.25","-0.97","1771","10.25","上市建材營造","營建","流通業,百貨業,營建,地產,物業投資發展",以政府開發案起家，橫跨建築、百貨及觀光的中型建商
430	,"2548.TW","華固","121","-1.63","1994","121","上市建材營造","營建","營建,地產",大台北地區中型建商，並轉向地上權開發
431	,"2596.TW","綠意","29","0.35","101","29","上櫃建材營造","營建","營建,地產",桃園及台北地區小型建商
432	,"2597.TW","潤弘","152.5","-0.65","521","152.5","上市建材營造","住宅建設","建材,住宅建設,基礎建設,營造工程",潤泰集團旗下，營造廠商
433	,"2603.TW","長榮","208","0.97","11639","208","上市航運業","貨櫃航運","貨櫃航運,運輸事業",全球前七大貨櫃航商，且為台灣最大
434	,"2605.TW","新興","34.9","-0.29","2592","34.9","上市航運業","散裝航運","散裝航運,油輪,運輸事業",台灣前四大散裝船商
435	,"2606.TW","裕民","62.8","0.64","2895","62.8","上市航運業","散裝航運","散裝航運,油輪,運輸事業",台灣最大散裝航運公司之一
436	,"2607.TW","榮運","47.25","0.53","486","47.25","上市航運業","物流業","加油站,其他公用事業,資產股,貨櫃場服務,倉儲服務,陸運,客運,運輸事業,物流業",長榮集團旗之內陸貨櫃運輸及倉儲服務業者
437	,"2608.TW","嘉里大榮","30","0.17","314","30","上市航運業","物流業","倉儲服務,陸運,運輸事業,物流業",台灣大型物流貨運公司，港資嘉里物流為最大股東
438	,"2609.TW","陽明","50.1","0.3","15056","50.1","上市航運業","貨櫃航運","貨櫃航運,運輸事業",台灣第二大貨櫃海運公司
439	,"2610.TW","華航","18.05","0.28","15169","18.05","上市航運業","空運","空運,運輸事業",台灣前兩大航空公司
440	,"2611.TW","志信","13.4","0.37","249","13.4","上市航運業","陸運","流通業,貿易,陸運,運輸事業,營建,地產,旅宿／餐飲,飯店",多角化經營陸運、加油站、營建、飯店業務
441	,"2612.TW","中航","55.7","1.64","448","55.7","上市航運業","散裝航運","貨櫃場服務,散裝航運,陸運,運輸事業,物流業",台灣散裝航運業者，且是具規模的貨櫃運輸業者
442	,"2613.TW","中櫃","22.5","-0.22","171","22.5","上市航運業","貨櫃場服務","貨櫃場服務,運輸事業",在台灣北、中、南擁有貨櫃集散場之公司
443	,"2614.TW","東森","20.3","1","469","20.3","上市其他","寵物用品","傳產其他,寵物用品,傳播事業,有線電視,貨櫃場服務,運輸事業",主要從事寵物用品通路、新聞網站、倉儲業務
444	,"2615.TW","萬海","77","1.85","6556","77","上市航運業","貨櫃航運","貨櫃航運,運輸事業",亞洲大型貨櫃輪航商
445	,"2616.TW","山隆","14","0.36","428","14","上市油電燃氣","加油站","加油站,其他公用事業,陸運,運輸事業",台灣知名加油站運營商
446	,"2617.TW","台航","29.3","0.34","471","29.3","上市航運業","散裝航運","散裝航運,水上運輸,運輸事業",主營散裝航運，兼營客貨輪與特種船舶代營
447	,"2618.TW","長榮航","34","0.59","22178","34","上市航運業","空運","空運,運輸事業",台灣前兩大航空公司
448	,"2630.TW","亞航","50.3","2.76","1181","50.3","上市航運業","飛機維修","飛機維修,運輸事業",台灣專業航空器修護公司
449	,"2633.TW","台灣高鐵","26.4","0","4067","26.4","上市航運業","鐵路運輸","鐵路運輸,運輸事業",台灣高速鐵路運輸服務公司
450	,"2634.TW","漢翔","50","2.15","6274","50","上市航運業","飛機零件／製造","航天軍工,航天機械零組件,機械零組件,飛機零件/製造",台灣航太產業領導者
451	,"2636.TW","台驊控股","67.7","0.15","314","67.7","上市航運業","海空運承攬業","海空運承攬業,運輸事業,物流業",台灣第一家海運承攬上市公司，為物流控股公司
452	,"2637.TW","慧洋-KY","74","1.23","2129","74","上市航運業","散裝航運","散裝航運,運輸事業",台灣具規模的散裝船隊船東之一
453	,"2640.TW","大車隊","175.5","-0.85","46","175.5","上櫃數位雲端","客運","汽車服務相關,客運,運輸事業",台灣計程車車隊龍頭企業
454	,"2641.TW","正德","17.4","0.58","982","17.4","上櫃航運業","散裝航運","散裝航運,運輸事業",以亞洲近洋航線為主力之散裝航運業者
455	,"2642.TW","宅配通","21.6","0.23","111","21.6","上市航運業","物流業","陸運,運輸事業,物流業",東元與日本通運合資成立的宅配服務業者
456	,"2643.TW","捷迅","66.5","-0.3","31","66.5","上櫃航運業","海空運承攬業","陸運,海空運承攬業,運輸事業",台灣承攬航空貨運、海運與報關業務之物流業者
457	,"2645.TW","長榮航太","160","0.63","1106","160","上市航運業","飛機維修","航天軍工,航天機械零組件,飛機維修,運輸事業",長榮航旗下，全球十大飛機維修公司之一
458	,"2646.TW","星宇航空","20.6","1.73","4935","20.6","上市航運業","空運","空運,運輸事業",主要提供國際間客、貨運輸服務
459	,"2701.TW","萬企","10.7","0","28","10.7","上市觀光餐旅","物業投資發展","地產,物業投資發展,休閒娛樂,電影院／劇院",經營商場租賃、電影院及遊樂場業務
460	,"2702.TW","華園","15.25","-3.79","570","15.25","上市觀光餐旅","飯店","旅宿／餐飲,飯店",位於高雄六合夜市及愛河中心點的國際觀光飯店
461	,"2704.TW","國賓","41.75","-0.24","37","41.75","上市觀光餐旅","飯店","旅宿／餐飲,飯店,餐飲",知名飯店及米其林餐廳業者
462	,"2705.TW","六福","16.35","-2.68","599","16.35","上市觀光餐旅","飯店","資產股,旅宿／餐飲,飯店,休閒娛樂,主題樂園",集團旗下擁有遊樂園、渡假飯店及五星級飯店
463	,"2706.TW","第一店","12.45","0","68","12.45","上市觀光餐旅","飯店","地產,物業投資發展,旅宿／餐飲,飯店",位於台北市南京東路精華地帶之飯店
464	,"2707.TW","晶華","169.5","-1.45","250","169.5","上市觀光餐旅","飯店","旅宿／餐飲,飯店",國際五星級觀光飯店
465	,"2712.TW","遠雄來","17.85","0","1","17.85","上市觀光餐旅","飯店","旅宿／餐飲,飯店",遠雄旗下位於花蓮海洋公園旁之五星級飯店
466	,"2718.TW","全心投控","42.75","-1.16","84","42.75","上櫃建材營造","營建","控股公司,營建,地產",由飯店業跨入不動產開發產業
467	,"2719.TW","燦星旅","27.05","-0.18","6","27.05","上櫃觀光餐旅","旅行社","休閒娛樂,旅行社",台鋼集團旗下旅遊公司
468	,"2722.TW","夏都","23.4","0","39","23.4","上市觀光餐旅","飯店","旅宿／餐飲,飯店",官田鋼轉投資，位於台灣墾丁之觀光渡假飯店
469	,"2723.TW","美食-KY","66.6","3.9","413","66.6","上市觀光餐旅","餐飲","食品加工,穀類烘焙製品,旅宿／餐飲,餐飲,休閒食品零售",以「85度C」為品牌之咖啡烘焙連鎖店
470	,"2724.TW","藝舍-KY","14.8","-0.67","13","14.8","上櫃其他","房屋代銷","房屋代銷,地產",轉型為不動產代銷服務商
471	,"2726.TW","雅茗-KY","10.45","-0.48","27","10.45","上櫃觀光餐旅","連鎖飲料","旅宿／餐飲,餐飲,連鎖飲料",在大陸以快樂檸檬品牌知名的台商茶飲料業者
472	,"2727.TW","王品","228","-0.44","313","228","上市觀光餐旅","餐飲","旅宿／餐飲,餐飲",連鎖餐飲集團，旗下擁有多個餐飲品牌
473	,"2729.TW","瓦城","164","-0.61","49","164","上櫃觀光餐旅","餐飲","旅宿／餐飲,餐飲",泰式料理連鎖餐廳
474	,"2731.TW","雄獅","160","-0.93","886","160","上市觀光餐旅","旅行社","休閒娛樂,旅行社",台灣知名與規模最大的旅行社之一
475	,"2732.TW","六角","64.9","-0.15","45","64.9","上櫃觀光餐旅","連鎖飲料","旅宿／餐飲,餐飲,連鎖飲料",在全球80個城市擁有門市據點的外帶式茶飲與甜品供應商
476	,"2734.TW","易飛網","16.3","-0.31","67","16.3","上櫃觀光餐旅","旅行社","Internet應用與服務,電商平台,休閒娛樂,旅行社",聚焦於線上銷售服務的旅行社業者
477	,"2736.TW","富野","13","0.39","82","13","上櫃觀光餐旅","飯店","旅宿／餐飲,飯店",台東縣知本溫泉區的知名溫泉飯店
478	,"2739.TW","寒舍","34.6","-0.29","94","34.6","上市觀光餐旅","飯店","旅宿／餐飲,飯店",在台北經營管理五星級飯店及餐飲服務之業者
479	,"2740.TW","華軒","42.15","2.8","2","42.15","上櫃觀光餐旅","餐飲","旅宿／餐飲,餐飲",旗下「點八餐飲集團」主營港式餐飲品牌
480	,"2743.TW","山富","70.4","-0.14","67","70.4","上櫃觀光餐旅","旅行社","休閒娛樂,旅行社",台灣知名旅行社之一
481	,"2745.TW","五福","102.5","-3.3","632","102.5","上櫃觀光餐旅","旅行社","休閒娛樂,旅行社",來自高雄的國內前五大旅行社
482	,"2748.TW","雲品","41.2","2.62","329","41.2","上市觀光餐旅","飯店","服務業,婚宴顧問,旅宿／餐飲,飯店",日月潭首家擁有天然溫泉的五星渡假飯店
483	,"2751.TW","王座","54.8","-1.26","11","54.8","上櫃觀光餐旅","餐飲","旅宿／餐飲,餐飲",六角旗下，代理與經營海內外餐飲品牌
484	,"2752.TW","豆府","184.5","-0.54","43","184.5","上櫃觀光餐旅","餐飲","旅宿／餐飲,餐飲",台灣規模最大韓式連鎖餐廳集團
485	,"2753.TW","八方雲集","179.5","0.56","260","179.5","上市觀光餐旅","餐飲","旅宿／餐飲,餐飲",台式連鎖餐飲集團，擁有八方雲集、梁社漢排骨
486	,"2754.TW","亞洲藏壽司","69","2.22","48","69","上櫃觀光餐旅","餐飲","旅宿／餐飲,餐飲",日式迴轉壽司連鎖店，擁有品牌「藏壽司」
487	,"2755.TW","揚秦","138.5","0.36","33","138.5","上櫃觀光餐旅","餐飲","旅宿／餐飲,餐飲",連鎖.直營門市餐飲經營者，核心品牌「麥味登」
488	,"2756.TW","聯發國際","67","0","22","67","上櫃觀光餐旅","連鎖飲料","旅宿／餐飲,餐飲,連鎖飲料",茶飲連鎖店，核心品牌「歇腳亭」
489	,"2762.TW","世界健身-KY","72.7","0.41","47","72.7","上市運動休閒","連鎖健身房","休閒娛樂,連鎖健身房",主要經營會員制連鎖健身中心
490	,"2801.TW","彰銀","20.8","0","10876","20.8","上市金融保險","銀行","銀行,金融業",台灣老牌銀行，為銀行界歷史悠久的三商銀之一
491	,"2812.TW","台中銀","19.8","0","13724","19.8","上市金融保險","銀行","銀行,金融業",中纖為大股東之中小型商業銀行
492	,"2816.TW","旺旺保","30.05","-0.17","139","30.05","上市金融保險","產險","產險,金融業",台灣產險業第一家上市公司，後由旺旺集團入主
493	,"2820.TW","華票","16.85","-0.3","1288","16.85","上市金融保險","票券","票券,金融其他,金融業",台灣前三大票券商
494	,"2832.TW","台產","52","-0.19","100","52","上市金融保險","產險","產險,金融業",台灣歷史最悠久的中小型產險公司
495	,"2834.TW","臺企銀","16.15","-0.31","37329","16.15","上市金融保險","銀行","銀行,金融業",台灣六大泛公股銀行之一
496	,"2836.TW","高雄銀","11.85","0.42","505","11.85","上市金融保險","銀行","銀行,金融業",高雄市政府為大股東之區域型銀行
497	,"2838.TW","聯邦銀","20.45","1.49","1456","20.45","上市金融保險","銀行","銀行,金融業",三重幫林榮三家族為大股東之民營銀行
498	,"2845.TW","遠東銀","12.2","0","6408","12.2","上市金融保險","銀行","銀行,金融業",遠東集團旗下之中小型商業銀行
499	,"2849.TW","安泰銀","13.7","0.37","34","13.7","上市金融保險","銀行","銀行,金融業",私募基金隆力集團入主的中小型銀行
500	,"2850.TW","新產","131","0.77","230","131","上市金融保險","產險","產險,金融業",新光集團旗下，為台灣前三大產險公司
501	,"2851.TW","中再保","30.55","0.66","2480","30.55","上市金融保險","再保險","壽險,產險,再保險,金融業",長榮集團旗下，為台灣保險市場中唯一的本土再保險公司
502	,"2852.TW","第一保","26","0","217","26","上市金融保險","產險","產險,再保險,金融業",台灣排名前十大的產險公司
503	,"2855.TW","統一證","39.1","4.13","12657","39.1","上市金融保險","證券","證券,金融業",為統一集團旗下券商，市佔排名前八大
